종목,티커,단타확률,중장기확률,단타정확도,중장기정확도,신호
에이루트,096690.KS,61.31,65.03,58.72,60.81,SELL
디에이치엑스컴퍼니,031860.KS,60.95,65.0,55.15,51.8,SELL
유아이디,069330.KS,75.76,64.93,54.14,55.63,SELL
유진테크,084370.KS,17.83,64.9,50.89,51.24,BUY
원익피앤이,217820.KS,69.33,64.86,53.95,51.75,SELL
세경하이테크,148150.KS,77.17,64.86,52.29,47.47,SELL
DH오토웨어,025440.KS,51.33,64.73,54.59,48.09,SELL
에어레인,163280.KS,70.76,64.65,41.11,45.24,BUY
퓨런티어,370090.KS,68.78,64.64,44.14,58.1,SELL
S&K폴리텍,091340.KS,56.54,64.63,53.13,48.99,SELL
삼천당제약,000250.KS,61.43,64.54,48.55,48.09,BUY
한솔홈데코,025750.KS,42.35,64.48,55.93,61.6,SELL
에이텍,045660.KS,47.59,64.44,53.13,49.89,SELL
하나제약,293480.KS,23.2,64.37,54.16,60.56,SELL
남화토건,091590.KS,37.55,64.32,56.15,51.13,SELL
코칩,126730.KS,43.28,64.31,47.24,59.84,BUY
비트플래닛,049470.KS,75.2,64.27,55.82,53.94,SELL
황금에스티,032560.KS,55.31,64.23,52.57,46.28,SELL
한국종합기술,023350.KS,44.93,64.22,51.34,46.17,SELL
팬오션,028670.KS,39.35,64.2,52.24,52.36,BUY
코스메카코리아,241710.KS,48.8,64.17,50.88,50.15,SELL
네이블,153460.KS,54.89,64.15,55.48,53.72,SELL
비에이치,090460.KS,54.86,64.13,50.34,47.97,SELL
한네트,052600.KS,36.39,64.06,55.26,55.41,SELL
에스오에스랩,464080.KS,62.02,64.04,49.57,43.75,SELL
엔씨소프트,036570.KS,45.08,64.04,50.34,45.5,SELL
씨티케이,260930.KS,40.49,64.02,54.33,54.38,SELL
스피어,347700.KS,74.31,63.98,52.79,44.19,BUY
종근당홀딩스,001630.KS,32.4,63.92,52.8,49.89,SELL
코미코,183300.KS,45.3,63.91,49.08,50.15,SELL
한중엔시에스,107640.KS,40.37,63.9,55.26,52.48,SELL
오픈엣지테크놀로지,394280.KS,24.23,63.9,48.37,50.42,SELL
동부건설,005960.KS,35.19,63.88,56.94,56.53,BUY
케이피티유,054410.KS,47.61,63.85,54.59,47.07,SELL
SK시그넷,260870.KS,47.21,63.84,58.06,62.38,SELL
에코볼트,097780.KS,38.47,63.81,59.73,63.4,SELL
SM Life Design,063440.KS,36.33,63.79,51.9,50.45,SELL
노머스,473980.KS,30.91,63.75,43.33,48.81,SELL
경동제약,011040.KS,38.55,63.67,54.7,48.76,SELL
와이어블,065530.KS,68.28,63.65,55.15,54.17,SELL
탈로스,434190.KS,33.76,63.62,57.68,56.17,BUY
송원산업,004430.KS,41.06,63.55,56.94,48.2,SELL
하스,450330.KS,68.9,63.54,58.62,63.64,SELL
경인양행,012610.KS,43.31,63.54,52.91,43.58,SELL
오가노이드사이언스,476040.KS,66.5,63.5,42.59,40.82,SELL
온코닉테라퓨틱스,476060.KS,65.17,63.42,45.68,52.63,BUY
피에스텍,002230.KS,47.06,63.41,54.59,52.36,SELL
디알젬,263690.KS,48.24,63.38,57.36,53.33,SELL
해성옵틱스,076610.KS,50.37,63.38,55.93,62.16,SELL
브이씨,365900.KS,64.54,63.35,56.75,46.48,BUY
에이치와이티씨,148930.KS,49.82,63.32,58.04,59.6,SELL
제주은행,006220.KS,59.74,63.28,52.46,46.17,SELL
디티씨,066670.KS,42.47,63.25,55.82,51.8,SELL
뉴로메카,348340.KS,53.23,63.24,57.14,54.31,SELL
보라티알,250000.KS,50.84,63.24,52.12,48.65,WAIT
KD,044180.KS,65.99,63.17,57.27,64.98,SELL
비큐AI,148780.KS,53.74,63.15,54.72,54.61,SELL
HL D&I,014790.KS,57.54,63.12,55.03,51.58,BUY
하나30호스팩,469880.KS,37.84,63.09,64.29,48.65,BUY
SG세계물산,004060.KS,45.45,63.09,56.38,51.46,BUY
스튜디오드래곤,253450.KS,88.55,63.01,52.24,54.1,SELL
자비스,254120.KS,69.58,62.9,51.11,58.89,SELL
지에이이노더스,076340.KS,33.05,62.88,63.62,54.72,SELL
풍산홀딩스,005810.KS,47.19,62.75,50.34,54.28,SELL
