종목,티커,단타확률,중장기확률,단타정확도,중장기정확도,신호
리노공업,058470.KS,36.86,53.35,51.68,51.58,BUY
원익IPS,240810.KS,42.75,53.32,53.76,51.33,BUY
삼기,122350.KS,50.93,53.31,54.92,63.29,SELL
서린바이오,038070.KS,39.0,53.31,56.15,46.62,BUY
롯데손해보험,000400.KS,27.52,53.3,53.24,49.89,BUY
LB인베스트먼트,309960.KS,54.04,53.27,53.37,52.71,SELL
바이오에프디엔씨,251120.KS,68.83,53.26,48.97,44.21,SELL
파버나인,177830.KS,55.81,53.25,55.73,49.46,SELL
덕신이피씨,090410.KS,34.34,53.25,54.31,57.07,SELL
제이엔케이글로벌,126880.KS,56.21,53.2,50.78,49.77,SELL
조아제약,034940.KS,50.49,53.19,54.81,55.52,SELL
사조동아원,008040.KS,54.7,53.16,55.37,51.46,SELL
심텍,222800.KS,65.03,53.16,51.81,46.87,SELL
우리로,046970.KS,55.42,53.15,55.26,52.25,SELL
루트락,253610.KS,50.52,53.11,61.33,55.68,SELL
대화제약,067080.KS,60.6,53.08,53.36,51.58,SELL
한올바이오파마,009420.KS,46.96,53.02,52.68,56.98,BUY
삼성전기,009150.KS,50.03,53.02,50.0,49.32,BUY
한주에이알티,058450.KS,48.18,53.01,51.23,51.13,SELL
세이브존I&C,067830.KS,67.04,53.01,54.59,60.14,SELL
시큐브,131090.KS,44.8,52.99,55.03,42.12,SELL
레이저옵텍,199550.KS,89.08,52.99,59.59,61.43,SELL
큐에스아이,066310.KS,50.9,52.97,52.8,48.42,SELL
빙그레,005180.KS,37.42,52.97,51.12,50.0,SELL
유니퀘스트,077500.KS,55.49,52.97,52.24,48.09,SELL
케이탑리츠,145270.KS,35.83,52.96,53.47,53.6,SELL
파라택시스이더리움,290560.KS,29.94,52.93,54.27,49.69,BUY
PI첨단소재,178920.KS,57.8,52.93,51.09,47.06,SELL
슈프리마에이치큐,094840.KS,44.67,52.91,53.36,54.28,SELL
카스,016920.KS,32.53,52.91,56.49,47.18,SELL
이엔플러스,074610.KS,37.92,52.91,66.44,46.06,WAIT
이화산업,000760.KS,43.96,52.82,54.92,51.46,SELL
지앤비에스 에코,382800.KS,53.58,52.82,57.51,56.82,SELL
올릭스,226950.KS,20.59,52.79,53.42,50.18,BUY
티엘엔지니어링,413300.KS,47.9,52.79,56.1,46.67,BUY
이녹스첨단소재,272290.KS,54.5,52.77,50.95,51.36,SELL
인텍플러스,064290.KS,38.87,52.77,51.68,51.69,SELL
영원무역홀딩스,009970.KS,56.66,52.74,50.0,48.09,BUY
피앤씨테크,237750.KS,85.42,52.73,51.98,52.57,SELL
아바코,083930.KS,56.11,52.73,50.67,56.76,SELL
셀리드,299660.KS,46.19,52.72,56.34,61.74,SELL
일진디스플,020760.KS,42.89,52.7,61.41,54.62,WAIT
파두,440110.KS,29.07,52.69,51.1,44.32,BUY
드림시큐리티,203650.KS,68.26,52.69,52.4,50.6,SELL
코세스,089890.KS,52.42,52.69,49.11,54.95,BUY
위세아이텍,065370.KS,66.32,52.67,58.23,56.82,SELL
SK이노베이션,096770.KS,58.49,52.63,50.67,49.21,BUY
대성창투,027830.KS,67.36,52.62,49.55,45.72,SELL
와이엠티,251370.KS,50.46,52.62,55.19,49.92,SELL
한국정보인증,053300.KS,52.02,52.6,55.54,56.83,SELL
진성티이씨,036890.KS,64.66,52.55,55.93,54.62,SELL
동양생명,082640.KS,53.32,52.54,52.46,52.14,SELL
써니전자,004770.KS,64.65,52.52,55.59,53.49,SELL
SG,255220.KS,39.27,52.45,50.85,43.93,SELL
한양이엔지,045100.KS,65.42,52.43,51.23,57.55,BUY
엔피케이,048830.KS,62.78,52.4,53.13,47.41,SELL
우리기술투자,041190.KS,38.63,52.39,56.6,52.25,SELL
케이엘넷,039420.KS,43.58,52.39,49.44,51.24,SELL
크래프톤,259960.KS,68.65,52.38,48.02,44.27,SELL
테고사이언스,191420.KS,43.18,52.38,53.86,54.01,SELL
미원홀딩스,107590.KS,58.28,52.34,58.84,49.77,SELL
휴니드테크놀러지스,005870.KS,29.3,52.34,53.58,54.17,BUY
위즈코프,038620.KS,45.48,52.33,52.8,48.09,BUY
케어랩스,263700.KS,66.96,52.31,53.46,55.67,SELL
바이브컴퍼니,301300.KS,69.46,52.27,55.67,61.78,SELL
CJ ENM,035760.KS,65.01,52.25,51.12,56.98,SELL
와이엠씨,155650.KS,56.73,52.25,53.8,56.76,SELL
GS건설,006360.KS,45.42,52.25,51.34,58.33,SELL
진매트릭스,109820.KS,48.72,52.24,59.62,59.12,SELL
피에스케이홀딩스,031980.KS,11.98,52.22,52.24,47.75,BUY
엠에스씨,009780.KS,50.1,52.21,56.04,48.09,SELL
iM금융지주,139130.KS,52.48,52.2,51.34,46.85,SELL
제일기획,030000.KS,42.96,52.18,53.47,47.41,SELL
신스틸,162300.KS,52.9,52.16,57.46,55.41,SELL
이노션,214320.KS,48.58,52.12,54.05,50.32,SELL
현대해상,001450.KS,73.81,52.11,52.01,49.77,SELL
한국제지,027970.KS,37.6,52.09,56.26,58.9,BUY
동우팜투테이블,088910.KS,40.12,52.09,53.02,42.34,BUY
젬백스,082270.KS,49.91,51.99,53.8,52.48,SELL
SGC E&C,016250.KS,44.51,51.97,54.59,50.23,BUY
조흥,002600.KS,46.03,51.97,54.59,55.41,SELL
라피치,403360.KS,55.14,51.97,60.53,50.67,BUY
엠케이전자,033160.KS,64.67,51.96,51.45,52.03,SELL
씨티씨바이오,060590.KS,52.07,51.96,53.8,53.49,SELL
폴라리스AI파마,041910.KS,50.0,51.94,53.36,55.18,SELL
피엔에이치테크,239890.KS,40.95,51.92,52.94,50.07,SELL
이랜텍,054210.KS,44.98,51.86,54.7,46.28,SELL
에스에이티,060540.KS,44.96,51.86,54.03,45.27,SELL
화승코퍼레이션,013520.KS,68.23,51.8,52.13,46.85,BUY
동원산업,006040.KS,43.66,51.8,52.68,50.45,SELL
폴라리스우노,114630.KS,34.39,51.76,54.92,59.12,SELL
리파인,377450.KS,72.13,51.75,51.44,46.75,SELL
리메드,302550.KS,50.53,51.75,54.91,52.76,BUY
SNT모티브,064960.KS,40.3,51.73,49.55,48.2,SELL
남해화학,025860.KS,48.09,51.72,52.24,46.17,BUY
금비,008870.KS,57.33,51.71,52.68,52.59,SELL
신일제약,012790.KS,40.78,51.7,56.94,48.54,BUY
루멘스,038060.KS,46.49,51.69,55.59,58.78,BUY
미래산업,025560.KS,30.08,51.69,54.03,52.14,SELL
위메이드,112040.KS,61.35,51.67,54.03,54.39,SELL
어보브반도체,102120.KS,55.85,51.64,52.35,52.14,SELL
고스트스튜디오,950190.KS,45.87,51.63,51.0,64.65,SELL
한일단조,024740.KS,26.86,51.61,53.13,50.68,BUY
새로닉스,042600.KS,39.63,51.6,54.92,58.9,SELL
아이티센피엔에스,232830.KS,56.14,51.58,55.11,54.03,BUY
이상네트웍스,080010.KS,61.48,51.56,49.33,47.86,SELL
보락,002760.KS,68.83,51.54,55.03,46.51,SELL
무학,033920.KS,45.8,51.48,52.8,44.59,SELL
까뮤이앤씨,013700.KS,51.31,51.48,57.49,54.5,SELL
휴비츠,065510.KS,63.89,51.47,52.13,52.14,SELL
쎄트렉아이,099320.KS,38.64,51.47,49.89,60.36,SELL
신세계,004170.KS,40.72,51.45,52.35,52.48,SELL
코람코더원리츠,417310.KS,46.72,51.43,49.47,42.09,BUY
세원정공,021820.KS,28.25,51.41,59.62,53.49,BUY
LG에너지솔루션,373220.KS,61.67,51.39,50.0,50.87,SELL
만호제강,001080.KS,43.42,51.39,63.09,65.43,BUY
우양에이치씨,101970.KS,52.44,51.35,55.25,52.19,SELL
에스트래픽,234300.KS,44.05,51.32,51.91,53.78,SELL
대정화금,120240.KS,49.4,51.32,54.36,53.83,BUY
현대로템,064350.KS,36.32,51.32,50.89,46.4,BUY
에스폴리텍,050760.KS,41.68,51.31,55.93,59.01,SELL
조광피혁,004700.KS,53.6,51.29,53.36,55.63,SELL
SUN&L,002820.KS,43.13,51.29,53.8,54.95,SELL
에이치시티,072990.KS,49.21,51.27,52.99,43.74,SELL
와토스코리아,079000.KS,18.53,51.27,54.36,47.86,BUY
디지아이,043360.KS,65.05,51.27,53.8,48.09,BUY
엠아이텍,179290.KS,45.56,51.26,53.12,53.35,SELL
대봉엘에스,078140.KS,52.11,51.19,51.68,50.23,SELL
테라사이언스,073640.KS,33.06,51.18,78.97,28.83,WAIT
이월드,084680.KS,43.38,51.18,53.58,58.11,SELL
에스와이스틸텍,365330.KS,69.79,51.17,55.56,43.95,SELL
HB인베스트먼트,440290.KS,50.83,51.15,48.3,35.92,SELL
셀레스트라,352770.KS,50.8,51.15,25.53,27.54,WAIT
SPC삼립,005610.KS,45.01,51.15,55.37,52.82,BUY
대원미디어,048910.KS,41.48,51.11,54.25,57.43,SELL
TCC스틸,002710.KS,58.23,51.08,50.0,46.17,SELL
한솔로지스틱스,009180.KS,33.24,51.05,55.03,52.48,BUY
하나마이크론,067310.KS,45.31,51.04,52.35,48.87,SELL
더블유게임즈,192080.KS,61.37,51.04,51.46,51.54,SELL
지에프씨생명과학,388610.KS,51.64,51.03,49.56,45.95,SELL
아모레퍼시픽홀딩스,002790.KS,48.51,51.02,51.57,54.39,SELL
세아제강지주,003030.KS,58.69,50.99,51.01,45.83,SELL
케이엔알시스템,199430.KS,55.97,50.99,51.8,33.58,SELL
혜인,003010.KS,46.0,50.97,51.9,52.36,SELL
에코앤드림,101360.KS,47.17,50.97,53.36,50.34,SELL
한화리츠,451800.KS,73.38,50.96,40.67,46.31,BUY
헬릭스미스,084990.KS,69.06,50.95,54.14,54.17,SELL
코스맥스,192820.KS,46.88,50.94,50.98,51.21,SELL
그리드위즈,453450.KS,55.51,50.93,50.83,49.12,BUY
희림,037440.KS,60.25,50.92,54.92,55.97,SELL
진시스템,363250.KS,65.46,50.9,56.52,54.57,SELL
동일금속,109860.KS,42.02,50.9,56.6,44.82,SELL
극동유화,014530.KS,54.63,50.89,53.91,51.58,BUY
미원화학,134380.KS,43.84,50.88,54.7,48.42,BUY
수산아이앤티,050960.KS,38.09,50.82,54.81,61.03,SELL
라메디텍,462510.KS,78.95,50.81,62.18,57.89,SELL
애니플러스,310200.KS,49.81,50.81,53.82,47.3,BUY
케이알엠,093640.KS,31.29,50.81,51.57,53.72,BUY
한국전자홀딩스,006200.KS,64.72,50.8,55.7,58.22,BUY
서연탑메탈,019770.KS,53.95,50.8,52.68,50.79,SELL
노블엠앤비,106520.KS,17.45,50.78,89.04,15.09,WAIT
유진기업,023410.KS,34.73,50.76,53.36,55.63,SELL
삼성공조,006660.KS,37.1,50.76,52.35,54.39,SELL
한독크린텍,256150.KS,51.93,50.74,53.6,63.52,SELL
우리넷,115440.KS,47.64,50.73,54.25,46.4,SELL
이녹스,088390.KS,61.65,50.72,55.03,57.43,SELL
KB오토시스,024120.KS,52.11,50.7,55.03,51.24,SELL
비씨월드제약,200780.KS,46.67,50.67,58.9,56.27,BUY
동아에스티,170900.KS,29.64,50.66,48.66,48.42,SELL
푸른저축은행,007330.KS,34.45,50.66,50.89,51.24,SELL
동아쏘시오홀딩스,000640.KS,61.13,50.65,52.13,47.52,SELL
삼아제약,009300.KS,41.71,50.65,51.45,48.2,SELL
프럼파스트,035200.KS,44.4,50.64,51.68,47.64,SELL
시디즈,134790.KS,40.75,50.62,55.15,52.03,SELL
휴맥스홀딩스,028080.KS,35.46,50.6,53.8,53.94,SELL
현대비앤지스틸,004560.KS,32.48,50.6,49.33,50.45,BUY
신원종합개발,017000.KS,61.81,50.6,55.37,53.6,SELL
양지사,030960.KS,62.88,50.59,55.15,55.52,SELL
JW신약,067290.KS,40.88,50.59,54.14,50.34,SELL
HB솔루션,297890.KS,28.19,50.58,54.35,45.1,SELL
메디앙스,014100.KS,71.85,50.58,52.46,59.12,SELL
옵투스제약,131030.KS,34.8,50.56,54.25,48.76,BUY
파이오링크,170790.KS,60.02,50.56,55.48,51.13,SELL
제이엔비,452160.KS,83.32,50.55,60.0,51.95,SELL
수산세보틱스,017550.KS,48.19,50.53,56.04,47.86,SELL
메가스터디,072870.KS,33.8,50.53,54.59,47.52,SELL
유니슨,018000.KS,40.92,50.52,56.04,62.05,BUY
오션인더블유,052300.KS,56.38,50.5,59.84,59.23,SELL
SAMG엔터,419530.KS,46.58,50.5,53.25,45.13,SELL
원바이오젠,307280.KS,40.79,50.45,56.63,49.23,SELL
서희건설,035890.KS,41.0,50.43,57.61,44.26,WAIT
에이치피오,357230.KS,46.85,50.41,51.01,49.12,SELL
쓰리빌리언,394800.KS,47.89,50.41,53.93,36.14,SELL
케이엔제이,272110.KS,45.77,50.4,50.65,47.48,SELL
동국제강,460860.KS,48.5,50.39,49.48,57.22,BUY
제이브이엠,054950.KS,43.24,50.38,53.24,46.62,SELL
서울바이오시스,092190.KS,55.45,50.38,56.09,55.81,BUY
대호특수강,021040.KS,29.3,50.36,54.92,58.45,SELL
LS네트웍스,000680.KS,50.48,50.36,52.13,53.83,SELL
SG&G,040610.KS,57.49,50.33,51.9,53.38,SELL
한온시스템,018880.KS,39.78,50.32,52.13,57.66,SELL
아모텍,052710.KS,54.71,50.31,55.37,55.97,BUY
팅크웨어,084730.KS,46.44,50.29,52.24,53.38,SELL
코리안리,003690.KS,38.32,50.28,48.88,48.42,SELL
디엔에프,092070.KS,40.15,50.28,54.25,51.69,BUY
판타지오,032800.KS,85.38,50.27,61.74,58.45,SELL
율촌화학,008730.KS,36.42,50.27,50.56,50.23,SELL
셀바스AI,108860.KS,43.49,50.26,52.35,53.72,SELL
하이록코리아,013030.KS,39.39,50.24,53.69,49.66,BUY
THE CUBE&,013720.KS,61.04,50.2,56.82,50.0,SELL
STX엔진,077970.KS,43.8,50.2,51.79,52.25,SELL
시그네틱스,033170.KS,59.29,50.18,56.6,53.27,SELL
포스코스틸리온,058430.KS,51.32,50.18,52.8,55.86,BUY
쿠쿠홈시스,284740.KS,53.57,50.13,55.39,50.0,SELL
HS애드,035000.KS,42.94,50.13,51.79,44.82,SELL
모헨즈,006920.KS,46.9,50.1,50.0,49.77,BUY
부방,014470.KS,59.63,50.08,55.26,55.97,SELL
이브이첨단소재,131400.KS,55.86,50.08,54.7,52.48,SELL
F&F 홀딩스,007700.KS,52.48,50.06,53.47,48.2,SELL
비케이홀딩스,050090.KS,40.58,50.06,56.6,56.08,SELL
SBI인베스트먼트,019550.KS,55.59,50.05,53.69,52.48,SELL
LX세미콘,108320.KS,48.98,50.05,49.66,46.51,SELL
케이엔솔,053080.KS,33.17,50.04,50.25,53.61,BUY
하나머티리얼즈,166090.KS,40.56,50.03,52.33,51.33,BUY
휴엠앤씨,263920.KS,63.68,50.03,54.49,57.4,BUY
에넥스,011090.KS,60.84,50.03,56.94,61.04,SELL
세원물산,024830.KS,35.39,50.01,62.86,55.86,BUY
큐로셀,372320.KS,59.72,49.97,49.08,38.22,BUY
포인트엔지니어링,256630.KS,80.14,49.97,59.16,54.7,BUY
알루코,001780.KS,49.68,49.95,51.9,54.39,SELL
크리스에프앤씨,110790.KS,61.65,49.95,51.2,56.64,SELL
우신시스템,017370.KS,38.2,49.94,53.24,47.52,SELL
엔케이,085310.KS,56.85,49.94,56.6,56.53,SELL
에스텍,069510.KS,64.65,49.92,48.99,53.72,SELL
제로투세븐,159580.KS,37.17,49.91,55.7,59.35,SELL
KBI메탈,024840.KS,51.06,49.9,53.36,50.34,BUY
대림바스,005750.KS,44.44,49.89,53.58,52.93,SELL
큐엠씨,136660.KS,27.3,49.89,62.06,53.66,BUY
디티앤씨,187220.KS,28.2,49.89,55.8,55.53,BUY
고려산업,002140.KS,35.66,49.87,52.13,50.34,BUY
넥써쓰,205500.KS,57.74,49.86,55.14,50.55,SELL
HJ중공업,097230.KS,46.28,49.85,53.8,53.6,SELL
IBKS제24호스팩,469480.KS,86.19,49.84,55.48,50.0,SELL
엑셈,205100.KS,62.92,49.82,54.47,51.09,SELL
플루토스,019570.KS,44.86,49.81,58.28,53.38,SELL
가온칩스,399720.KS,72.13,49.8,50.74,51.88,SELL
SFA반도체,036540.KS,38.66,49.76,53.24,50.34,SELL
한화솔루션,009830.KS,68.49,49.74,54.25,50.34,BUY
유아이엘,049520.KS,59.95,49.68,52.57,49.66,SELL
동신건설,025950.KS,52.31,49.66,49.89,48.2,SELL
켐트로스,220260.KS,54.04,49.63,53.68,57.48,SELL
한라IMS,092460.KS,43.82,49.59,49.22,53.94,SELL
LG,003550.KS,48.62,49.58,51.12,51.01,BUY
동진쎄미켐,005290.KS,51.05,49.56,54.14,50.23,SELL
블루산업개발,006740.KS,45.03,49.54,48.77,37.27,SELL
중앙에너비스,000440.KS,33.45,49.53,53.8,48.2,BUY
우양,103840.KS,51.58,49.51,48.36,48.34,SELL
파루,043200.KS,34.71,49.5,53.24,54.73,SELL
영풍,000670.KS,59.71,49.49,49.33,52.82,SELL
에이치케이,044780.KS,46.62,49.47,55.7,47.64,BUY
코오롱글로벌,003070.KS,43.18,49.46,54.03,55.86,BUY
진양산업,003780.KS,63.59,49.43,54.7,45.83,SELL
예스24,053280.KS,43.69,49.42,56.38,54.17,SELL
앤로보틱스,138360.KS,52.05,49.42,63.31,59.68,SELL
넥센,005720.KS,70.0,49.36,52.13,49.89,SELL
신대양제지,016590.KS,52.22,49.35,55.93,48.54,SELL
엑시콘,092870.KS,40.6,49.34,52.32,53.94,SELL
농심,004370.KS,52.27,49.29,52.68,54.17,SELL
한국제13호스팩,464440.KS,24.29,49.28,66.05,57.96,SELL
엔에이치스팩29호,451700.KS,46.5,49.28,76.96,61.62,SELL
SK하이닉스,000660.KS,61.11,49.26,53.02,48.42,BUY
삼화전자공업,011230.KS,43.16,49.26,55.7,49.89,SELL
푸드웰,005670.KS,46.12,49.22,55.03,51.01,SELL
금화피에스시,036190.KS,44.54,49.22,53.58,51.01,SELL
아이컴포넌트,059100.KS,67.72,49.2,55.48,51.69,SELL
유니온바이오메트릭스,203450.KS,33.32,49.19,55.12,45.79,SELL
코오롱인더,120110.KS,59.77,49.18,51.01,48.87,BUY
태웅로직스,124560.KS,38.07,49.18,56.07,55.93,BUY
대성홀딩스,016710.KS,49.8,49.16,51.23,53.38,BUY
한국주철관공업,000970.KS,46.02,49.13,51.9,51.35,SELL
삼영이엔씨,065570.KS,31.98,49.12,66.0,56.87,WAIT
DH오토넥스,000300.KS,44.48,49.11,78.52,77.03,WAIT
대현,016090.KS,46.67,49.09,54.7,58.11,SELL
푸드나무,290720.KS,40.1,49.07,54.07,53.64,SELL
큐로홀딩스,051780.KS,42.45,49.07,56.49,57.09,SELL
디지틀조선,033130.KS,54.31,49.02,51.23,55.29,BUY
동아지질,028100.KS,58.32,49.01,53.8,49.44,SELL
AK홀딩스,006840.KS,48.19,49.01,53.24,60.92,SELL
SGC에너지,005090.KS,50.6,48.98,53.91,54.5,BUY
태경비케이,014580.KS,61.8,48.98,52.46,51.46,SELL
레몬,294140.KS,65.7,48.96,50.8,45.01,SELL
HC보광산업,225530.KS,52.19,48.95,57.85,60.89,SELL
기신정기,092440.KS,65.85,48.95,52.8,48.31,SELL
KPX케미칼,025000.KS,48.71,48.93,52.8,52.14,SELL
WISCOM,024070.KS,53.51,48.9,55.15,57.55,BUY
신라섬유,001000.KS,48.02,48.88,54.92,57.66,SELL
이마트,139480.KS,63.96,48.88,52.35,51.58,SELL
브리지텍,064480.KS,50.07,48.87,52.46,54.5,SELL
삼영전자공업,005680.KS,50.58,48.87,55.03,50.0,SELL
케이바이오,038530.KS,49.3,48.85,61.41,63.96,SELL
한국콜마,161890.KS,53.82,48.84,50.67,43.69,SELL
대륙제관,004780.KS,49.75,48.83,54.03,55.07,BUY
한샘,009240.KS,33.91,48.82,48.77,44.59,SELL
서울도시가스,017390.KS,54.1,48.78,54.36,50.68,BUY
삼화콘덴서공업,001820.KS,39.59,48.74,52.8,58.0,BUY
유티아이,179900.KS,59.41,48.74,53.75,54.11,SELL
팬젠,222110.KS,28.57,48.73,54.05,55.19,SELL
진흥기업,002780.KS,43.6,48.73,55.93,59.68,SELL
S-Oil,010950.KS,36.74,48.72,51.57,49.32,BUY
코이즈,121850.KS,48.08,48.71,53.24,63.4,SELL
랩지노믹스,084650.KS,50.17,48.7,52.35,50.23,SELL
라온시큐어,042510.KS,50.53,48.69,56.49,57.88,SELL
삼목에스폼,018310.KS,50.42,48.63,54.7,50.56,SELL
대원전선,006340.KS,40.83,48.6,50.56,50.0,BUY
녹십자,006280.KS,42.22,48.58,51.57,52.36,SELL
일동홀딩스,000230.KS,56.49,48.56,53.24,56.53,SELL
유수홀딩스,000700.KS,57.6,48.56,56.15,50.45,SELL
제일연마,001560.KS,71.43,48.54,54.36,57.09,BUY
인피니트헬스케어,071200.KS,62.47,48.53,56.82,52.25,SELL
지슨,446840.KS,49.62,48.5,52.02,55.96,SELL
비에이치아이,083650.KS,52.16,48.48,50.67,52.25,BUY
삼성증권,016360.KS,60.76,48.46,52.13,44.03,SELL
티웨이홀딩스,004870.KS,54.58,48.45,58.17,56.19,SELL
효성 ITX,094280.KS,43.51,48.43,53.91,51.58,SELL
삼영,003720.KS,56.51,48.41,54.92,52.93,SELL
유유제약,000220.KS,46.92,48.41,51.9,48.42,SELL
대성파인텍,104040.KS,42.61,48.4,53.69,57.66,SELL
신풍,002870.KS,44.14,48.39,53.24,51.91,SELL
스튜디오산타클로스,204630.KS,9.25,48.38,79.56,82.64,WAIT
E1,017940.KS,64.23,48.38,51.68,46.28,SELL
케이엔더블유,105330.KS,48.61,48.37,52.8,49.55,BUY
한국ANKOR유전,152550.KS,24.0,48.35,69.02,58.0,BUY
닷밀,464580.KS,62.47,48.35,55.06,48.81,SELL
알체라,347860.KS,81.01,48.34,53.19,57.68,SELL
이크레더블,092130.KS,52.49,48.34,53.02,52.7,SELL
세진중공업,075580.KS,47.43,48.34,53.0,46.7,SELL
대덕,008060.KS,49.8,48.32,51.45,51.24,BUY
일지테크,019540.KS,57.05,48.29,54.59,50.68,SELL
펨토바이오메드,327610.KS,44.04,48.29,58.68,64.02,SELL
비츠로시스,054220.KS,45.02,48.28,55.03,52.48,BUY
KG모빌리언스,046440.KS,52.92,48.27,51.23,59.46,SELL
사토시홀딩스,223310.KS,38.79,48.27,59.95,57.99,SELL
한국컴퓨터,054040.KS,42.55,48.26,52.01,51.69,BUY
듀켐바이오,176750.KS,27.01,48.25,56.18,48.52,SELL
로젠,033290.KS,45.0,48.25,52.57,49.44,SELL
샘표,007540.KS,55.08,48.23,55.03,50.9,BUY
유니트론텍,142210.KS,69.43,48.23,53.8,46.85,SELL
하이즈항공,221840.KS,36.01,48.22,51.2,45.7,SELL
비트컴퓨터,032850.KS,50.06,48.21,53.24,51.69,SELL
아센디오,012170.KS,52.86,48.21,56.26,63.63,SELL
코오롱ENP,138490.KS,46.11,48.17,52.8,50.34,BUY
인벤티지랩,389470.KS,73.62,48.15,54.7,51.09,BUY
신세계인터내셔날,031430.KS,64.43,48.12,55.59,46.73,SELL
풀무원,017810.KS,49.98,48.1,54.59,47.64,SELL
삼성출판사,068290.KS,50.46,48.1,54.25,54.95,SELL
전진바이오팜,110020.KS,52.38,48.09,55.62,60.38,SELL
다산네트웍스,039560.KS,68.7,48.08,53.24,52.48,SELL
다올투자증권,030210.KS,44.84,48.08,50.45,51.8,BUY
KTcs,058850.KS,53.78,48.07,54.59,53.15,SELL
휴온스,243070.KS,55.04,48.03,52.81,56.66,SELL
이엠티,232530.KS,25.0,48.03,56.39,44.5,BUY
그린생명과학,114450.KS,53.26,48.01,53.13,58.0,SELL
상신전자,263810.KS,53.53,48.01,48.69,47.36,SELL
이지홀딩스,035810.KS,44.26,47.96,52.01,47.97,BUY
서암기계공업,100660.KS,69.48,47.96,51.45,47.86,SELL
루켄테크놀러지스,162120.KS,60.03,47.93,55.18,55.39,SELL
디모아,016670.KS,50.32,47.9,58.5,55.63,SELL
이노메트리,302430.KS,62.03,47.9,57.22,57.88,SELL
삼진엘앤디,054090.KS,56.15,47.9,56.94,51.46,SELL
쏠리드,050890.KS,44.0,47.87,52.13,50.23,SELL
KB금융,105560.KS,38.63,47.87,51.12,50.23,SELL
포스코퓨처엠,003670.KS,44.24,47.85,51.34,52.14,SELL
비츠로셀,082920.KS,32.47,47.81,51.45,54.5,SELL
국보디자인,066620.KS,52.76,47.81,51.9,49.89,SELL
한국미라클피플사,331660.KS,1.77,47.8,83.77,75.44,SELL
무림SP,001810.KS,62.13,47.79,53.02,46.85,SELL
이건산업,008250.KS,53.21,47.79,57.49,64.75,SELL
일신바이오,068330.KS,42.62,47.79,59.06,58.22,SELL
조일알미늄,018470.KS,45.97,47.76,54.81,55.52,SELL
성도이엔지,037350.KS,45.68,47.75,50.22,49.66,BUY
신도리코,029530.KS,40.56,47.75,53.8,45.5,SELL
아시아종묘,154030.KS,41.86,47.72,55.28,51.48,SELL
코리아에프티,123410.KS,65.4,47.71,49.89,50.56,SELL
캐리,313760.KS,66.65,47.7,50.1,52.84,SELL
한미글로벌,053690.KS,42.37,47.69,54.03,50.23,SELL
헥토파이낸셜,234340.KS,28.44,47.68,50.72,58.37,BUY
화신,010690.KS,46.83,47.68,52.24,47.52,BUY
에코아이,448280.KS,32.35,47.68,47.2,50.97,BUY
피델릭스,032580.KS,57.32,47.67,53.13,53.15,SELL
동국제약,086450.KS,49.36,47.66,54.36,49.32,BUY
스타코링크,060240.KS,47.38,47.66,64.09,68.81,WAIT
엠플러스,259630.KS,68.06,47.63,52.03,48.77,SELL
동일기연,032960.KS,41.98,47.61,53.91,52.48,SELL
EG,037370.KS,64.44,47.58,57.27,57.88,SELL
티움바이오,321550.KS,41.52,47.57,53.07,58.98,BUY
에스티큐브,052020.KS,39.83,47.56,53.13,53.15,BUY
엔켐,348370.KS,65.07,47.56,48.24,47.88,SELL
부산산업,011390.KS,44.87,47.53,54.14,50.79,SELL
HD현대마린엔진,071970.KS,34.02,47.5,50.0,39.75,SELL
평화산업,090080.KS,27.35,47.5,54.14,56.19,SELL
우진비앤지,018620.KS,55.68,47.5,54.14,54.17,SELL
아즈텍WB,032080.KS,55.09,47.5,57.16,54.28,SELL
영흥,012160.KS,68.09,47.49,54.59,59.23,BUY
인팩,023810.KS,39.07,47.49,54.81,52.03,SELL
신라교역,004970.KS,60.78,47.48,55.59,54.17,SELL
세기상사,002420.KS,43.67,47.44,55.26,62.05,BUY
인터플렉스,051370.KS,41.37,47.44,52.46,50.0,SELL
제주항공,089590.KS,53.03,47.41,56.63,55.48,SELL
경동인베스트,012320.KS,40.35,47.39,51.57,53.15,BUY
빛샘전자,072950.KS,37.58,47.38,50.89,53.83,BUY
삼익악기,002450.KS,41.94,47.38,55.37,56.19,SELL
KT나스미디어,089600.KS,41.57,47.37,54.25,51.46,SELL
기산텔레콤,035460.KS,66.41,47.36,53.36,48.76,SELL
노랑풍선,104620.KS,50.27,47.36,54.07,49.9,SELL
국영지앤엠,006050.KS,43.42,47.36,53.69,51.24,SELL
삼성생명,032830.KS,63.79,47.32,48.66,42.23,BUY
SK디앤디,210980.KS,58.43,47.28,57.16,49.48,SELL
티앤알바이오팹,246710.KS,53.19,47.27,57.28,58.51,SELL
세방전지,004490.KS,34.78,47.24,51.68,46.17,SELL
조비,001550.KS,55.26,47.24,55.03,51.58,BUY
비상교육,100220.KS,35.61,47.22,52.91,47.52,SELL
오이솔루션,138080.KS,74.17,47.19,54.61,51.2,BUY
원림,005820.KS,49.49,47.19,54.36,49.1,BUY
씨에스윈드,112610.KS,53.31,47.18,51.58,45.11,BUY
수젠텍,253840.KS,47.21,47.18,55.38,54.98,SELL
삼익THK,004380.KS,48.12,47.15,61.86,57.66,WAIT
와이엠,007530.KS,33.55,47.13,56.15,50.11,SELL
