name,ticker
한화플러스제4호스팩,455310.KS
대신밸런스제16호스팩,457630.KS
유안타제11호스팩,444920.KS
크라우드웍스,355390.KS
한국제12호스팩,458610.KS
시큐레터,418250.KS
스마트레이더시스템,424960.KS
넥스틸,092790.KS
캔버스엔,210120.KS
SK증권제10호스팩,457940.KS
코츠테크놀로지,448710.KS
큐리옥스바이오시스템즈,445680.KS
NICE평가정보,030190.KS
파두,440110.KS
엠아이큐브솔루션,373170.KS
시지트로닉스,429270.KS
에피바이오텍,446440.KS
조선내화,462520.KS
에이엘티,172670.KS
파로스아이바이오,388870.KS
버넥트,438700.KS
뷰티스킨,406820.KS
와이랩,432430.KS
센서뷰,321370.KS
아이엠지티,456570.KS
필에너지,378340.KS
이노시뮬레이션,274400.KS
알멕,354320.KS
오픈놀,440320.KS
아이티센피엔에스,232830.KS
엔에이치스팩29호,451700.KS
가이아코퍼레이션,296520.KS
비에이치,090460.KS
동국씨엠,460850.KS
동국제강,460860.KS
프로티아,303360.KS
큐라티스,348080.KS
마녀공장,439090.KS
나라셀라,405920.KS
진영,285800.KS
이수스페셜티케미컬,457190.KS
OCI,456040.KS
기가비스,420770.KS
팸텍,271830.KS
모니터랩,434480.KS
시선AI,340810.KS
큐라켐,456190.KS
지슨,446840.KS
트루엔,417790.KS
에스바이오메딕스,304360.KS
슈어소프트테크,298830.KS
토마토시스템,393210.KS
마이크로투나노,424980.KS
셀바이오휴먼텍,318160.KS
SK오션플랜트,100090.KS
삼성FN리츠,448730.KS
현대그린푸드,453340.KS
한화갤러리아,452260.KS
지아이이노베이션,358570.KS
LB인베스트먼트,309960.KS
한화리츠,451800.KS
엑스게이트,356680.KS
금양그린파워,282720.KS
라온텍,418420.KS
자람테크놀로지,389020.KS
나노팀,417010.KS
바이오인프라,199730.KS
이노진,344860.KS
화인써키트,127980.KS
제이오,418550.KS
샌즈랩,411080.KS
꿈비,407400.KS
스튜디오미르,408900.KS
삼기에너지솔루션즈,419050.KS
오브젠,417860.KS
미래반도체,254490.KS
태양3C,052960.KS
티이엠씨,425040.KS
한주라이트메탈,198940.KS
옵티코어,380540.KS
아이오바이오,447690.KS
타이드,346010.KS
신스틸,162300.KS
바이오노트,377740.KS
마이크로엔엑스,448780.KS
애니메디솔루션,390110.KS
핑거스토리,417180.KS
SAMG엔터,419530.KS
아하,102950.KS
인터로이드,311960.KS
유니드비티플러스,446070.KS
펨트론,168360.KS
인벤티지랩,389470.KS
엔젯,419080.KS
유비온,084440.KS
티쓰리,204610.KS
티에프이,425420.KS
윤성에프앤씨,372170.KS
디티앤씨알오,383930.KS
뉴로메카,348340.KS
제이아이테크,417500.KS
LX세미콘,108320.KS
큐알티,405100.KS
저스템,417840.KS
산돌,419120.KS
탈로스,434190.KS
플라즈맵,405000.KS
핀텔,291810.KS
샤페론,378800.KS
비스토스,419540.KS
탑머티리얼,360070.KS
에스비비테크,389500.KS
오에스피,368970.KS
모델솔루션,417970.KS
이노룰스,296640.KS
파인엠텍,441270.KS
KB스타리츠,432320.KS
선바이오,067370.KS
더블유씨피,393890.KS
알피바이오,314140.KS
티엘엔지니어링,413300.KS
오픈엣지테크놀로지,394280.KS
대성하이텍,129920.KS
쏘카,403550.KS
에이치와이티씨,148930.KS
새빗켐,107600.KS
수산인더스트리,126720.KS
아이씨에이치,368600.KS
성일하이텍,365340.KS
에이프릴바이오,397030.KS
퓨쳐메디신,341170.KS
벨로크,424760.KS
루닛,328130.KS
바스칸바이오제약,354390.KS
HPSP,403870.KS
와이씨켐,112290.KS
코난테크놀로지,402030.KS
넥스트칩,396270.KS
레이저쎌,412350.KS
보로노이,310210.KS
위니아에이드,377460.KS
비큐AI,148780.KS
범한퓨얼셀,382900.KS
코나솔,176590.KS
청담글로벌,362320.KS
마스턴프리미어리츠,357430.KS
가온칩스,399720.KS
대명에너지,389260.KS
포바이포,389140.KS
지투파워,388050.KS
씨피시스템,413630.KS
코람코더원리츠,417310.KS
세아메카닉스,396300.KS
공구우먼,366030.KS
유일로보틱스,388720.KS
모아데이타,288980.KS
메쎄이상,408920.KS
노을,376930.KS
비씨엔씨,146320.KS
풍원정밀,371950.KS
스톤브릿지벤처스,330730.KS
브이씨,365900.KS
퓨런티어,370090.KS
바이오에프디엔씨,251120.KS
인카금융서비스,211050.KS
나래나노텍,137080.KS
아셈스,136410.KS
스코넥,276040.KS
이지트로닉스,377330.KS
LG에너지솔루션,373220.KS
애드바이오텍,179530.KS
케이옥션,102370.KS
코스텍시스템,169670.KS
오토앤,353590.KS
아티스트스튜디오,200350.KS
라피치,403360.KS
제이엠멀티,254160.KS
신한서부티엔디리츠,404990.KS
툴젠,199800.KS
미래에셋글로벌리츠,396690.KS
켈스,402420.KS
SK스퀘어,402340.KS
마음AI,377480.KS
알비더블유,361570.KS
NH올원리츠,400760.KS
NPX,222160.KS
트윔,290090.KS
아이티아이즈,372800.KS
지오엘리먼트,311320.KS
SKAI,357880.KS
디어유,376300.KS
지니너스,389030.KS
카카오페이,377300.KS
피코그램,376180.KS
엔켐,348370.KS
리파인,377450.KS
지앤비에스 에코,382800.KS
아이패밀리에스씨,114840.KS
차백신연구소,261780.KS
지아이텍,382480.KS
코닉오토메이션,391710.KS
케이카,381970.KS
씨유테크,376290.KS
아스플로,159010.KS
원준,382840.KS
실리콘투,257720.KS
에스앤디,260970.KS
프롬바이오,377220.KS
바이오플러스,099430.KS
HD현대중공업,329180.KS
SK리츠,395400.KS
와이엠텍,273640.KS
에이비온,203400.KS
라이콤,388790.KS
일진하이솔루스,271940.KS
디앤디플랫폼리츠,377190.KS
바이젠셀,308080.KS
아주스틸,139990.KS
롯데렌탈,089860.KS
브레인즈컴퍼니,099390.KS
